,Judet,Populatie,Regiune,Numar Firme,Firme per 1000 locuitori,Populatia Activa,Rata Somaj,Salariul Mediu,Venit Gospodarie,Procent Urbanizare,Evolutie_medie_salariu,Evolutie_medie_somaj,Competitie_score,Forta_de_munca_score,Piata_locala_score,Stabilitate_economica_score,Urbanizare_score,Potential
40, Hunedoara,0.10802519889745035,Vest,0.0512287988923503,0.25542950101878426,0.07140473807140474,0.5405405405405405,0.04506340579710155,0.2030799374215897,0.6361127789259893,0.4033615577264982,0.8639360379096199,0.8466708500444327,0.26543209876543217,0.11872284737204719,0.2697127599084391,0.6361127789259893,0.4303086749323707
28, Ialomita,0.039171312827580435,Sud-Muntenia,0.007961232260297678,0.10608104688182973,0.008925592258925592,0.581081081081081,0.06793478260869579,0.2224949059241228,0.22981355885872073,0.6845607970927192,0.5600037553290251,0.9429788604289363,0.21392225558892228,0.10986700045346635,0.562278520881847,0.22981355885872073,0.4248097282994703
24, Arges,0.24502821629184154,Sud-Muntenia,0.1261643782931426,0.3459493626828628,0.13688688688688685,0.4054054054054054,0.2746829710144929,0.2224949059241228,0.24860688690393057,0.30490605892936085,0.6546142384197986,0.7639431295119973,0.36574074074074076,0.2474020310768191,0.3251459102547811,0.24860688690393057,0.41204735786915897
9, Harghita,0.06709004155442794,Centru,0.03372177993154109,0.23755798974143016,0.043793793793793785,0.4864864864864864,0.042572463768115965,0.24682151324459745,0.1848063719092376,0.6948653529709228,0.5911499959248554,0.8643601151635144,0.2786536536536537,0.11882800618904711,0.5518576785230337,0.1848063719092376,0.4120273686337118
36, Olt,0.12215944684583097,Sud-Vest Oltenia,0.03306795892465675,0.12783642089479208,0.05230230230230231,0.6756756756756755,0.18229166666666674,0.1768606497425056,0.17649492127198457,0.47131183673604493,0.5047120261951089,0.9195478100902756,0.18831331331331339,0.16043725441833442,0.483299905270468,0.17649492127198457,0.4066281527711831
23, Vrancea,0.09329974002380503,Sud-Est,0.031114187915849384,0.16415687035599102,0.03712045378712044,0.27027027027027023,0.0,0.13270921532071456,0.07843901624810234,0.23164868320669463,0.31085642482110987,0.9023644708640798,0.38342509175842515,0.07533631844817319,0.4603961291927924,0.07843901624810234,0.4019354874958825
33, Dolj,0.2669160715404373,Sud-Vest Oltenia,0.11379562324525978,0.27075829512173466,0.13530196863530197,0.9189189189189187,0.258378623188406,0.1768606497425056,0.31083519409327914,0.5151391058690544,0.574371077608198,0.8077230408165028,0.10819152485819161,0.2340517814904496,0.4703840141304282,0.31083519409327914,0.3992648917819326
19, Buzau,0.13638831464428156,Sud-Est,0.05342871428021999,0.21317508478479208,0.06314647981314647,0.6756756756756755,0.078125,0.13270921532071456,0.15050897573381322,0.606708215417926,0.40178390044167395,0.866698100467494,0.19373540206873546,0.11574084332166538,0.602462157488126,0.15050897573381322,0.39730248634432785
37, Valcea,0.09873157196851051,Sud-Vest Oltenia,0.04202146071304949,0.22031606995870429,0.061061061061061066,0.4054054054054054,0.013586956521739246,0.1768606497425056,0.24268166446724454,0.35874090074836706,0.7178979122073661,0.8688312346641232,0.3278278278278278,0.09639305941091846,0.3204214942705005,0.24268166446724454,0.39133711289498774
15, Neamt,0.1686452003591639,Nord-Est,0.0503288335064036,0.14932727544253876,0.0702369035702369,0.554054054054054,0.07382246376811596,0.0,0.11153008926007801,0.6501369671011719,0.6626937286498351,0.9001719455255288,0.2580914247580915,0.08082255470909329,0.4937216192256684,0.11153008926007801,0.3876546662831358
